,TID,CN,TW,EN,ES,RU,PO,DE,KR,JP,FR,IT,AR,TR,IN,
1,Little Star,小星星,小星星,Little Star,Little Star,Маленькая звезда,Little Star,Kleiner Stern,반짝반짝 작은별,Little Star,Little Star,Little Star,نجمة صغيرة,Little Star,Little Star,10
2,Jingle Bells,铃儿响叮当,鈴兒響叮噹,Jingle Bells,Jingle Bells,Джингл Белз,Jingle Bells,Jingle Bells,징글 벨,Jingle Bells,Jingle Bells,Jingle Bells,أجراس الميلاد,Jingle Bells,Jingle Bells,13
3,Canon,卡农,卡農,Canon,Canon,Канон,Canon,Canon,카논,Canon,Canon,Canon,كاهن,Kanon,Canon,4
4,Two Tigers,两只老虎,兩隻老虎,Two Tigers,Two Tigers,Два Тигра,Two Tigers,Two Tigers,호랑이 두 마리,Two Tigers,Two Tigers,Two Tigers,نمرين,İki Kaplan,Two Tigers,5
5,Happy New Year,新年快乐,新年快樂,Happy New Year,Happy New Year,С новым годом,Happy New Year,Happy New Year,새해 복 많이 받으세요,Happy New Year,Happy New Year,Happy New Year,سنة جديدة سعيدة,Yeni Yılı Kutlu Olsun,Happy New Year,15
6,Beyer No.8,拜厄练习曲No.8,拜厄練習曲No.8,Beyer No.8,Beyer No.8,Байер №8,Beyer No.8,Beyer Nr.8,바이어 연습곡 No.8,Beyer No.8,Beyer No.8,Beyer No.8,باير No.8,Beyer No.8,Beyer No.8,9
7,Bluestone Alley,青石巷,青石巷,Bluestone Alley,Bluestone Alley,Цин Ши Сян,Bluestone Alley,Bluestone Alley,유리 성,Bluestone Alley,Bluestone Alley,Bluestone Alley,زقاق أزرق,Bluestone Alley,Bluestone Alley,9
8,Jasmine,茉莉花,茉莉花,Jasmine,Jasmine,Жасмин,Jasmine,Jasmine,재스민,Jasmine,Jasmine,Jasmine,الياسمين,Yasemin,Jasmine,8
9,Dolls and Bear Dancing,洋娃娃和小熊跳舞,洋娃娃和小熊跳舞,Dolls and Bear Dancing,Dolls and Bear Dancing,Польские песни,Dolls and Bear Dancing,Doll and Bear Dancing,인형이 곰과 춤을 추다,Dolls and Bear Dancing,Dolls and Bear Dancing,Dolls and Bear Dancing,الدمى والدب الراقص,Dolls and Bear Dancing,Dolls and Bear Dancing,18
10,Happy Birthday to You,祝你生日快乐,祝你生日快樂,Happy Birthday to You,Feliz Cumpleaños,С днём рождения,Parabéns pra você,Happy Birthday to You,생일 축하합니다,Happy Birthday to You,Feliz Cumpleaños,Feliz Cumpleaños,عيد ميلاد سعيد,Doğum Günün Kutlu Olsun,Happy Birthday to You,14
11,Heidenroslein,野玫瑰,野玫瑰,Heidenroslein,Heidenroslein,Дикая роза,Heidenroslein,Heideröslein,들장미,Heidenroslein,Heidenroslein,Heidenroslein,روز البرية,Heidenroslein,Heidenroslein,10
12,The Painter,粉刷匠,粉刷匠,The Painter,The Painter,Художник,The Painter,The Painter,페인터,The Painter,The Painter,The Painter,الرسام,The Painter,The Painter,6
13,Nocturne Op.9 No.2,降E大调夜曲,降E大調夜曲,Nocturne Op.9 No.2,Nocturne Op.9 No.2,НоктюрнOp.9 №2 ,Nocturne Op.9 No.2,Nocturne Op.9 Nr.2,녹턴 Op.9 No.2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,Nocturne Op.9 No.2,نوكتيورن No.2 Op.9,Nocturne Op.9 No.2,Nocturne Op.9 No.2,18
14,The Ruins of Athens No.4,雅典的废墟No.4,雅典的廢墟No.4,The Ruins of Athens No.4,The Ruins of Athens No.4,Афинские развалины №4,The Ruins of Athens No.4,Die Ruinen von Athen Nr.4,아테네의 유적 No.4,The Ruins of Athens No.4,The Ruins of Athens No.4,The Ruins of Athens No.4,أطلال أثينا No.4,The Ruins of Athens No.4,The Ruins of Athens No.4,16
15,Waltz in A minor,a小调圆舞曲,a小調圓舞曲,Waltz in A minor,Waltz in A minor,Waltz in A minor,Waltz in A minor,Waltz in A minor,단조풍 왈츠,Waltz in A minor,Waltz in A minor,Waltz in A minor,فالس في سلم لا الصغير,Waltz in A minor,Waltz in A minor,21
16,Gavotte,加沃特舞曲,加沃特舞曲,Gavotte,Gavotte,Гавот,Gavotte,Gavotte,가보트,Gavotte,Gavotte,Gavotte,رقصة الغافوتية,Gavotte,Gavotte,14
17,Por Una Cabeza,一步之遥,一步之遙,Por Una Cabeza,Por Una Cabeza,Por Una Cabeza,Por Una Cabeza,Por Una Cabeza,포르 우나 카베자,Por Una Cabeza,Por Una Cabeza,Por Una Cabeza,بور أونا كابيزا,Por Una Cabeza,Por Una Cabeza,15
18,Moments Musicaux,音乐瞬间,音樂瞬間,Moments Musicaux,Moments Musicaux,Музыка мгновенно,Moments Musicaux,Moments Musicaux,악흥의 순간,Moments Musicaux,Moments Musicaux,Moments Musicaux,لحظات الموسيقى,Moments Musicaux,Moments Musicaux,14
19,Korobeiniki,卖货郎,賣貨郎,Korobeiniki,Korobeiniki,Коробейники,Korobeiniki,The Peddlers,방물장수들,Korobeiniki,Korobeiniki,Korobeiniki,الباعة المتجولين,Korobeiniki,Korobeiniki,16
20,Waltz Op.64 No.1,小狗圆舞曲,小狗圓舞曲,Waltz Op.64 No.1,Waltz Op.64 No.1,Вальс Op.64 №1,Waltz Op.64 No.1,Waltz Op.64 Nr.1,강아지 왈츠,Waltz Op.64 No.1,Waltz Op.64 No.1,Waltz Op.64 No.1,الفالس No.1 Op.64,Waltz Op.64 No.2,Waltz Op.64 No.1,17
